Number	Poem	Page	ID	Position	Character	Pinyin	MC	OC	FQ	GY	Tone	Division	?	Final	Rhyme	Metrum I	Metrum II	Metrum III	Text	German	
24	BĀN GUǏ 班簋	180-182	10i	99	成	chéng	*dzyeng	*deŋ	是征	禪清	p	III	k	耕	E	XVI	xxx	E	亡不成 E 、	und es gab nichts, 	
24	BĀN GUǏ 班簋	180-182	11b	102	畏	wèi	*'jwijH	*ʔuj(s)	於胃	影畏 	q	III	h	微	X	XVII	xxx	X	傿{目+叉}天畏（威 X），	was erfolglos geblieben wäre oder der Autorität des Himmels einen Stich versetzt hätte; 	
24	BĀN GUǏ 班簋	180-182	11b	102	威	wēi	*'jwij	*ʔuj	於非	影微	p	III	h	微	X						
24	BĀN GUǏ 班簋	180-182	11f	106	陟	zhì	*trik	*trək	竹力	知職	r	III	k	職	F	XVIII	xxxx	F	否畀屯（純）陟 F。	er (der Himmel) ließ ihnen (den Huá) keinen unversehrten Aufstieg zuteil werden. 	
24	BĀN GUǏ 班簋	180-182	12b	112	上 	shàng	*dzyangH	*daŋs	時亮	禪漾	q	III	k	陽	G	XIX	xxxxxx	G	公告氒（厥）事于上 G ﹕	[Ich,] der Herzog teilte die Angelegenheit (seines Sieges) nach oben mit: 	
24	BĀN GUǏ 班簋	180-182	12g	117	才	cái	*dzoj	*dzə̄	昨哉	從咍	p	I	k	之	H	XX	xxxxx	H	「隹（唯）民亡（氓）{ㄔ+{止>口}}（拙）才（哉 H）！	Wie töricht sind doch die Völker und Leute (der Huá)!	
24	BĀN GUǏ 班簋	180-182	12g	117	哉	zāi	*tsoj	*tsə̄	祖才	精海	p	I	k	之	H						
24	BĀN GUǏ 班簋	180-182	13c	123	亡	wáng	*mjang	*maŋ	武方	微陽	p	III	h	陽	G	XXI	xxxxxx	G	彝{未>心}（昧）天令（命），故亡 G 。	Ständig verdunkeln sie das Mandat des Himmels, deshalb gehen sie unter.	
24	BĀN GUǏ 班簋	180-182	13e	125	才	cái	*dzoj	*dzə̄	昨哉	從咍	p	I	k	之	H	XXII	xx	H	允才（哉 H），	Wahrhaftig!	
24	BĀN GUǏ 班簋	180-182	13e	125	哉	zāi	*tsoj	*tsə̄	祖才	精海	p	I	k	之	H						
24	BĀN GUǏ 班簋	180-182	13i	129	德	dé	*tok	*tə̄k	多則	端德	r	I	k	職	h	XXIII	xxxx	h	顯隹（唯）茍（敬）德 h ，	sie sollten die Tugendkraft ehren,	
24	BĀN GUǏ 班簋	180-182	14b	132	違	wéi	*hjwɨj	*wəj	雨非	匣微	p	III	h	微	X	XXIV	xxx	X	亡逌（攸）違 X ！」	und nicht gegen es (das Mandat) verstoßen.	
24	BĀN GUǏ 班簋	180-182	14g	137	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	X	XXV	xxxxxx	X	班拜{旨+頁}（稽）首 X ，	[Ich,] Bān verneigte mich, schlug mein Haupt in Proskynese zu Boden	
24	BĀN GUǏ 班簋	180-182	15d	144	公	gōng	*kuwng	*kōŋ	古紅	見東	p	I	h	東	g	XXVI	xxxx	g	曰﹕「烏虖！不（丕）{不+不}（丕）丮（揚）皇公 g ，	und sprach: Oh, illusterer und doppeltillusterer, gebenedeiter und erhabener Herzog,	
24	BĀN GUǏ 班簋	180-182	15i	149	釐	lí	*li	*C-rə	里之	來之	p	III	k	之	H	XXVII	xxxxx	H	受京宗懿釐 H 。	ihr habt die exzellente Segenspendung der (hauptstädtischen ) königlichen Stammeslinie erhalten. 	
24	BĀN GUǏ 班簋	180-182	16f	156	孫	sūn	*swon	*sūn	思渾	心魂	p	I	h	文	X	XXVIII	xxxxxxx	X	毓文王={{台+{司-口}}>女}（姒）圣孫 X 。	Ihr erzogt König Wén und die (hellhörige →) weise Nachkommenschaft von Königin Sì. 	
24	BĀN GUǏ 班簋	180-182	16j	160	服	fú	*bjuwk	*bək	房六	夆屋	r	III	h	職	h	XXIX	xxxx	h	隥（登）于大服 h ，	Ihr stiegt zu hohen Dienstgraden auf 	
24	BĀN GUǏ 班簋	180-182	17c	166	工	gōng	*kuwng	*kōŋ	古紅	見東	p	I	h	東	g	XXX	xxxxxx	g	廣成工（功 g）。	und erwarbt euch ausgedehnte Verdienste.	
24	BĀN GUǏ 班簋	180-182	17c	166	功	gōng	*kuwng	*kōŋ	古紅	見東	p	I	h	東	g						
24	BĀN GUǏ 班簋	180-182	17j	171	井	jǐng	*tsjengX	*tseŋ	子郢	精靜	s	III	k	耕	I	XXXI	xxxxx	I	文王孫亡（無）弗褱（懷）井（型 I），	Unter den Nachkommen von König Wén gibt es nieman den, der sich nicht danach sehnte, [Euch] zum Modell zu nehmen,	
24	BĀN GUǏ 班簋	180-182	17j	171	型	xíng	*heng	*gēŋ	戶經	匣青	p	IV	k	耕	I						
24	BĀN GUǏ 班簋	180-182	18e	176	剌	là	*lat	*C-rat	盧達	來曷	r	I	k	月	X	XXXII	xxxxx	X	亡克競氒（厥）剌（烈 X）。	niemanden, der es vermöchte, Euch eure Brillianz streitig machen. 	
24	BĀN GUǏ 班簋	180-182	18e	176	烈	liè	*ljet	*C-rat	良薛	來薛	r	III	k	月	X						
24	BĀN GUǏ 班簋	180-182	18i	180	覓	mì	*mek	*mek	莫狄	明錫	r	IV	k	錫	X	XXXIII	xxxx	X	班非敢覓 X ，	Nicht daß [ich,] Bān es wagte, nach etwas zu trachten,	
24	BĀN GUǏ 班簋	180-182	19c	184	考	kǎo	*khawX	*khūʔ	苦浩	溪晧	s	I	k	幽	J	XXXIV	xxxx	J	隹（唯）乍（作）卲（昭）考 J ， 	es ist nur so, daß ich für meinen leuchtenden Vater selig [ein Bronzegefäß] fertigen ließ	
24	BĀN GUǏ 班簋	180-182	19h	189	政	zhèng	*tsjengH	*teŋs	之盛	章勁	q	III	k	耕	I	XXXV	xxxxx	I	爽益（謚）曰〈大政〉I」。	und ihm frohgemut (eigenmächtig) den postumen Namen ‘Große Regierung’ gab. 	
24	BĀN GUǏ 班簋	180-182	20e	197	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	J	XXXVI	xxxxxxxx	J	子=孫多世永寶 J ！	"Mögen die Kindeskinder und deren Nachkommen es (das Gefäß) über viele Generationen hinweg wertschätzen!"""	
25	JÌNG GUǏ 靜簋	185		(1-63)															^check dui		
25	JÌNG GUǏ 靜簋	185	7a	67	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	A	I	xxxx	A			
25	JÌNG GUǏ 靜簋	185	7h	74	休	xiū	*xjuw	*x( r )u	許尤	曉尤	p	III	k	幽	A	II	xxxxxxx	A			
25	JÌNG GUǏ 靜簋	185	8e	82	𣪘										?	III	xxxxxx	A			
25	JÌNG GUǏ 靜簋	185	8e	82	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	A						
25	JÌNG GUǏ 靜簋	185	8m	90	用	yòng	*yowngH	*loŋs	余頌	以用	q	III	h	東	X	IV	xxxxxxxx	X			
26	LÙ GUǏ 彔簋	185-6		(1-13)																	
26	LÙ GUǏ 彔簋	185-6	3d	16	休	xiū	*xjuw	*x( r )u	許尤	曉尤	p	III	k	幽	A	I	xxx	A			
26	LÙ GUǏ 彔簋	185-6	5a	25	𣪘										?	II	xxxxxxxxx 	A			
26	LÙ GUǏ 彔簋	185-6	5a	25	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	A						
26	LÙ GUǏ 彔簋	185-6	5h	32	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	III 	xxxxxxx 	A			
27	?DONG DǏNG {戈>冬}鼎	186-7		(1-4)																	
27	?DONG DǏNG {戈>冬}鼎	186-7	2c	13	公	gōng	*kuwng	*kōŋ	古紅	見東	p	I	h	東	A	I	xxxxxxxxx	A			
27	?DONG DǏNG {戈>冬}鼎	186-7	2j	20	戈>冬										?a	II	xxxxxxx	?a			
27	?DONG DǏNG {戈>冬}鼎	186-7	3f	26	戎	róng	*nyuwng	*nuŋ	如融	日東	p	III	h	冬	A	III	xxxxxx	a			
27	?DONG DǏNG {戈>冬}鼎	186-7	3j	30	虖	hū	*xɔ	*hwā	荒烏	曉模	p	I	h	魚	B	IV	xxxx	B			
27	?DONG DǏNG {戈>冬}鼎	186-7	4i	39	庚	gēng	*kaeng	*krāŋ	古行	見庚	p	II	k	陽	B	V	xxxxxxxxx	b			
27	?DONG DǏNG {戈>冬}鼎	186-7	5c	44	安	ān	*'an	*ʔān	烏寒	影寒	p	I	k	元	C	VI	xxxxx	C			
27	?DONG DǏNG {戈>冬}鼎	186-7	5k	51	安	ān	*'an	*ʔān	烏寒	影寒	p	I	k	元	C	VII	xxxxxxx	C			
27	?DONG DǏNG {戈>冬}鼎	186-7	6d	55	身	shēn	*syin	*hlin	失人	書真	p	III	k	真	D	VIII	xxxx	D			
27	?DONG DǏNG {戈>冬}鼎	186-7	6j	61	子	zǐ	*tsiX	*tsəʔ	即里	精止	s	III	k	之	E	IX	xxxxxx	E			
27	?DONG DǏNG {戈>冬}鼎	186-7	8b	73	子	zǐ	*tsiX	*tsəʔ	即里	精止	s	III	k	之	E	X	xxxxxxxxxxxx	E			
27	?DONG DǏNG {戈>冬}鼎	186-7	8h	79	身	shēn	*syin	*hlin	失人	書真	p	III	k	真	D	XI	xxxxxx	D			
27	?DONG DǏNG {戈>冬}鼎	186-7	9b	83	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	e	XII	xxxx	e			
27	?DONG DǏNG {戈>冬}鼎	186-7	9f	87	令	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	D	XIII	xxxx	D			
27	?DONG DǏNG {戈>冬}鼎	186-7	10f	97	彝	yí	*yij	*ləj	以脂	以脂	p	III	k	脂	X	XIV	xxxxxxxxxx	X			
27	?DONG DǏNG {戈>冬}鼎	186-7	11d	107	福	fú	*pjuwk	*pək	方六	非屋	r	III	h	職	X	XV	xxxxxxxxxx	X			
27	?DONG DǏNG {戈>冬}鼎	186-7	11g	112	孫=	­sūn	*-swon	*-sūn	思渾	心魂	p	I	h	文	X	XVI	xxxxx	X			
27	?DONG DǏNG {戈>冬}鼎	186-7	11k	116	剌	là	*lat	*C-rat	盧達	來曷	r	I	k	月	X	XVII	xxxx	X			
27	?DONG DǏNG {戈>冬}鼎	186-7	11k	116	烈	liè	*ljet	*C-rat	良薛	來薛	r	III	k	月	X						
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188		(1-11)																	
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	2e	15	{夕>言}+系	yáo	*yew	*law	餘昭	以宵	p	III	k	豪	X	I	xxxx	X			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	2e	15	繇	yáo	*yew	*law	餘昭	以宵	p	III	k	豪	X						
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	2i	19	考	kǎo	*khawX	*khūʔ	博江	幫江	p	II	k	東	A	II	xxxx	A			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	3d	24	邦	bāng	*paewng	*prōŋ	博江	幫江	p	II	k	東	A	III	xxxxx	A			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	3h	28	方	fāng	*pjang	*paŋ	府良	非陽	p	III	h	陽	a	IV	xxxx	a			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	4b	32	令	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	X	V	xxxx	X  [...]			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	4b	32	命	mìng	*mjaengH	*mriŋ(s)	眉病	明映	q	III	k	真	X						
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188		(33-71)																	
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	8h	78	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	B	VI	xxxxxxx	B			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	9e	85	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	B	VII	xxxxxxx	B			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	9i	90	考	kǎo	*khawX	*khūʔ	苦浩	溪晧	s	I	k	幽	B	VIII	xxxxx	B			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	10e	95	𣪘										?	IX	xxxxx	B			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	10e	95	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	B						
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	11b	102	用	yòng	*yowngH	*loŋs	余頌	以用	q	III	h	東	X	X	xxxxxxx	X			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	11d	106	孫=	­sūn	*-swon	*-sūn	思渾	心魂	p	I	h	文	X	XI	xxxx	X			
28	LÙ BÓ ?DONG GUǏ 彔白{戈>冬}簋	188	11m	113	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	B	XII	xxxxxxx	B			
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	2b	8	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	I	xxxxxxxx	A	白（伯）{戈0冬}肇其乍（作）西 宮寶 A。	"""[Ich,] (Ältester →) Fürst ?Dong ließ erstmals für den westlichen Palast [dieses] wertvolle [Gefäß] fertigen. "	
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	2f	12	神	shén	*zyin	*mlin	食鄰	船真	p	III	k	真	B	II	xxxx	B	隹（唯）用妥神 B，	Verwendet es, um die Geister zu erquicken,	
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	3e	17	人	rén	*nyin	*nin	如鄰	日真	p	III	k	真	B	III	xxxxx	B	褱（懷）唬（效）前文人 B！	und sehnt euch danach, den kultivierten Menschen früherer Zeiten nachzueifern!	
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	4c	21	屯	tún	*dwon	*dūn	徒渾	定魂	p	I	h	文	b	IV	xxxx	b	秉德共（恭）屯（純 b），	Haltet an der Tugendkraft fest, seid der Aufrichtigkeit ergeben	
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	4c	21	純	chún	*dzywin	*d(r)un	常倫	禪諄	p	III	h	文	b						
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	5a	21	年	nián	*nen	*nīn	奴顛	泥先	p	IV	k	真	B	V	xxxx	B	隹（唯）匄萬年 B ！	und betet um Myriaden von Jahren! 	
29	BÓ ?DONG GUǏ 伯{戈>冬}簋	191	5e	31	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	VI	xxxxxx	A	子=孫=永寶 A ！	"Mögen Kindeskinder und Enkelsenkel [das Gefäß] ewiglich wertschätzen!"""	
30	XIÀN JǏ GUǏ 縣妀簋	192		(1-37)																	
30	XIÀN JǏ GUǏ 縣妀簋	192	4j	44	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	A	I	xxxxxxx	A			
30	XIÀN JǏ GUǏ 縣妀簋	192	5h	53	室	shì	*syit	*stǐt	式質	書質	r	III	k	質	B	II	xxxxxxx	B			
30	XIÀN JǏ GUǏ 縣妀簋	192	6c	59	壽	shòu	*dzyuwX	*duʔ	殖酉	禪有	s	III	k	幽	A	III	xxxxxx	A			
30	XIÀN JǏ GUǏ 縣妀簋	192	6c	59	儔	chóu	*drjuw	*dru	直由	澄尤	p	III	k	幽	A						
30	XIÀN JǏ GUǏ 縣妀簋	192	7c	69	保	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	IV	xxxxxxxxxx 	A			
30	XIÀN JǏ GUǏ 縣妀簋	192	7h	74	彝	yí	*yij	*ləj	以脂	以脂	p	III	k	脂	X	V	xxxxx	X			
30	XIÀN JǏ GUǏ 縣妀簋	192	8f	83	子	zǐ	*tsiX	*tsəʔ	即里	精止	s	III	k	之	a	VI	xxxxxxx	a			
30	XIÀN JǏ GUǏ 縣妀簋	192	8d	79	日	rì	*nyit	*nit	入質	日質	r	III	k	質	B	VII	xxxxxx	B			
30	XIÀN JǏ GUǏ 縣妀簋	192	8m	88	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	A	VIII	xxxxxxxxx	A			
31	YǑU GUǏ {友>甘}簋	192-3		(1-16)																	
31	YǑU GUǏ {友>甘}簋	192-3	3d	19	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	A	I	xxx	A			
31	YǑU GUǏ {友>甘}簋	192-3	4c	25	考	kǎo	*khawX	*khūʔ	苦浩	溪晧	s	I	k	幽	A	II	xxxx	A			
31	YǑU GUǏ {友>甘}簋	192-3	5a	30	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	A	III	xxxxx	A			
31	YǑU GUǏ {友>甘}簋	192-3	5h	37	𣪘										?	IV	xxxxxxx	A			
31	YǑU GUǏ {友>甘}簋	192-3	5h	37	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	A						
31	YǑU GUǏ {友>甘}簋	192-3	6g	44	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	V	xxxxxxx	A			
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193		(1-33)																	
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193	5b	36	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	A	I	xxx	A			
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193	6b	44	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	A	II	xxxxxxxx   	A			
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193	7b	52	𣪘										?	III	xxxxxxxx	A			
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193	7b	52	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	A						
32	SHĪ JÙ GUǏ(GÀI) 師遽簋（蓋）	193	7g	57	寶	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	A	IV	xxxxx	A			
33	WÀNG GUǏ 望簋	193-4		(1-58)																	
33	WÀNG GUǏ 望簋	193-4	7f	62	首	shǒu	*syuwX	*hluʔ	書九	書有	s	III	k	幽	A	I	xxxx	A			
33	WÀNG GUǏ 望簋	193-4	8d	69	休	xiū	*xjuw	*x(r)u	許尤	曉尤	p	III	k	幽	A	II	xxxxxxx	A			
33	WÀNG GUǏ 望簋	193-4	9f	79	𣪘										?	III	xxxxxxxxxx	A			
33	WÀNG GUǏ 望簋	193-4	9f	79	簋	guǐ	*kwijX	*kʷruʔ	居洧	見旨	s	III	h	幽	A						
33	WÀNG GUǏ 望簋	193-4	10h	89	用	yòng	*yowngH	*loŋs	余頌	以用	q	III	h	東	X	IV	xxxxxxxxxx	X			
34	QIÁNG PÁN 牆盤	194-8		[1]												[1]					
34	QIÁNG PÁN 牆盤	194-8	1d	4	王	wáng	*hjwang	*waŋ	雨 方	云陽	p	III	h	陽	A	I	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	1i	9	政	zhèng	*tsjengH	*teŋs	之盛	章勁	q	III	k	耕	B	II	xxxxx	B			
34	QIÁNG PÁN 牆盤	194-8	1p	16	{由+由}>丂										?	III	xxxxxxx	B			
34	QIÁNG PÁN 牆盤	194-8	1p	16	甹	píng	*pheng	*phēŋ	普丁	滂青	p	IV	k	耕	B						
34	QIÁNG PÁN 牆盤	194-8	2d	20	下	xià	*haeX	*grāʔ	胡雅	匣馬	s	II	k	魚	X	IV	xxxx	X			
34	QIÁNG PÁN 牆盤	194-8	2h	24	邦	bāng	*paewng	*prōŋ	博江	幫江	p	II	k	東	A	V	xxxx	a			
34	QIÁNG PÁN 牆盤	194-8		[2]												[2]					
34	QIÁNG PÁN 牆盤	194-8	2l	28	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	VI	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	2p	32	方	fāng	*pjang	*paŋ	府良	非陽	p	III	h	陽	A	VII	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	3b	34	殷	yīn	*'jɨn	*ʔən	於斤	影痕	p	III	k	文	C	VIII	xx	C			
34	QIÁNG PÁN 牆盤	194-8	3d	36	民	mín	*mjin	*min	彌鄰	明真	p	III	k	真	C	IX	xx	c			
34	QIÁNG PÁN 牆盤	194-8	3h	40	狄	dí	*dek	*lēk	徒歷	定錫	r	IV	k	錫	X	X	xxxx	X			
34	QIÁNG PÁN 牆盤	194-8	3h	40	惕	tì	*thek	*hlēk	他歷	透錫	r	IV	k	錫	X						
34	QIÁNG PÁN 牆盤	194-8	3n	45	童	tóng	*duwng	*dōŋ	徒紅	定東	p	I	h	東	A	XI	xxxxx	a			
34	QIÁNG PÁN 牆盤	194-8		[3]												[3]					
34	QIÁNG PÁN 牆盤	194-8	4b	49	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	XII	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	4h	55	鯀	gǔn	*kwonX	*kūnʔ	古本	見混	s	I	k	文	X	XIII	xxxxxx	X			
34	QIÁNG PÁN 牆盤	194-8	4h	55	⻖+鯀	hùn	*hwonX	*gūnʔ	胡本	匣混	s	I	h	文	X						
34	QIÁNG PÁN 牆盤	194-8	4m	60	邦	bāng	*paewng	*prōŋ	博江	幫江	p	II	k	東	A	XIV	xxxxx	a			
34	QIÁNG PÁN 牆盤	194-8		[4]												[4]					
34	QIÁNG PÁN 牆盤	194-8	5b	64	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	XV	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	5f	68	彊	jiāng	*kjang	*kaŋ	居良	見陽	p	III	k	陽	A	XVI	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	5f	68	疆	jiāng	*kjang	*kaŋ	居良	見陽	p	III	k	陽	A						
34	QIÁNG PÁN 牆盤	194-8		[5]												[5]					
34	QIÁNG PÁN 牆盤	194-8	5j	72	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	XVII	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	5n	76	荊	jīng	*kjaeng	*kraŋ	舉卿	見庚	p	III	k	陽	A	XVIII	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	6c	80	行	háng	*hang	*gāŋ	戶郎	匣唐	p	I	k	陽	A	XIX	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8		[6]												[6]					
34	QIÁNG PÁN 牆盤	194-8	6g	84	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	XX	xxxx	A			
34	QIÁNG PÁN 牆盤	194-8	6k	88	誨	huì	*xwojH	*hmə̄(k)s	荒内	曉隊	q	I	h	之	B	XXI	xxxx	B			
34	QIÁNG PÁN 牆盤	194-8	6k	88	謀	móu	*mjuw	*mə	莫浮	明由	p	III	k	之	B						
34	QIÁNG PÁN 牆盤	194-8	6o	92	子=	zǐ	*tsiX	*tsəʔ	即里	精止	s	III	k	之	B	XXII	xxxx	B			
34	QIÁNG PÁN 牆盤	194-8	7f	100	剌	là	*lat	*C-rat	盧達	來曷	r	I	k	月	D	XXIII	xxxxxxxx	D			
34	QIÁNG PÁN 牆盤	194-8	7f	100	烈	liè	*ljet	*C-rat	良薛	來薛	r	III	k	月	D						
34	QIÁNG PÁN 牆盤	194-8	7k	105	匄	gài	*kajH	*kāts	古太	見泰	q	I	k	月	D	XXIV	xxxxx	D			
34	QIÁNG PÁN 牆盤	194-8	7k	105	匃	gé	*kajH	*kāt	古達	見曷	r	I	k	月	D						
34	QIÁNG PÁN 牆盤	194-8	7o	109	下	xià	*haeX	*grāʔ	胡雅	匣馬	s	II	k	魚	E	XXV	xxxx	E			
34	QIÁNG PÁN 牆盤	194-8	8c	113	慕	mù	*muH	*māks	莫故	明暮	q	I	h	鐸	E	XXVI	xxxx	E			
34	QIÁNG PÁN 牆盤	194-8	8c	113	謨	mó	*mu	*mā	莫胡	明模	p	I	h	魚	E						
34	QIÁNG PÁN 牆盤	194-8	8g	117	日>矢										?	XXVII	xxxx	e			
34	QIÁNG PÁN 牆盤	194-8	8g	117	斁	yì	*yek	*ljAk	羊益	以昔	r	III	k	鐸	E						
34	QIÁNG PÁN 牆盤	194-8	8m	123	保	bǎo	*pawX	*pūʔ	博抱	幫晧	s	I	k	幽	X	XXVIII	xxxxxx	X			
34	QIÁNG PÁN 牆盤	194-8	9b	128	令	lìng	*ljengH	*C-riŋs	力政	來勁	q	III	k	真	F	XXIX	xxxxx	F			
34	QIÁNG PÁN 牆盤	194-8	9f	132	年	nián	*nen	*nīn	奴顛	泥先	p	IV	k	真	F	XXX	xxxx	F			
34	QIÁNG PÁN 牆盤	194-8	9l	138	見	jiàn	*kenH	*kēns	古電	見霰	q	IV	k	元	F	XXXI	xxxxxx	f			
34	QIÁNG PÁN 牆盤	194-8		[7]												[7]					
34	QIÁNG PÁN 牆盤	194-8	9p	142	且	jū	*tsjo	*tsa	子魚	精魚	p	III	h	魚	G	XXXII	xxxx	G			
34	QIÁNG PÁN 牆盤	194-8	9p	142	祖	zǔ	*tsuX	*tsāʔ	則古	精姥	s	I	h	魚	G						
34	QIÁNG PÁN 牆盤	194-8	10l	146	處	chǔ	*tsyhjoX	*KHaʔ	昌與	昌語	s	III	h	魚	G	XXXIII	xxxx	G			
34	QIÁNG PÁN 牆盤	194-8	10k	152	殷	yīn	*'jɨn	*ʔən	於斤	影痕	p	III	k	文	X	XXXIV	xxxxxx	X			
34	QIÁNG PÁN 牆盤	194-8	10o	156	且	jū	*tsjo	*tsa	子魚	精魚	p	III	h	魚	G	XXXV	xxxx	G			
34	QIÁNG PÁN 牆盤	194-8	10o	156	祖	zǔ	*tsuX	*tsāʔ	則古	精姥	s	I	h	魚	G						
34	QIÁNG PÁN 牆盤	194-8	11e	161	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	H	XXXVI	xxxxx	H			
34	QIÁNG PÁN 牆盤	194-8	11m	169	囗0禹										?	XXXVII	xxxxxxxx	G			
34	QIÁNG PÁN 牆盤	194-8	11m	169	宇	yǔ	*hjuX	*w(r)aʔ	王矩	云麌	s	III	h	魚	G						
34	QIÁNG PÁN 牆盤	194-8	11q	173	處	chǔ	*tsyhjoX	*KHaʔ	昌與	昌語	s	III	h	魚	G	XXXVIII	xxxx	G			
34	QIÁNG PÁN 牆盤	194-8	12h	181	辟	bì	*pjek	*pek	必益	幫昔	r	III	k	錫	X	XXXIX	xxxx	X			
34	QIÁNG PÁN 牆盤	194-8	12l	185	心	xīn	*sim	*səm	息林	心	p	III	k	侵	X	XL	xxxx	X			
34	QIÁNG PÁN 牆盤	194-8		[8]												[8]					
34	QIÁNG PÁN 牆盤	194-8	13a	189	明	míng	*mjaeng	*mraŋ	武兵	明庚	p	III	k	陽	H	XLI	xxxx	H			
34	QIÁNG PÁN 牆盤	194-8	13e	193	辛	xīn	*sin	*sin	息鄰	心真	p	III	k	真	I	XLII	xxxx	I			
34	QIÁNG PÁN 牆盤	194-8	13i	197	孫	sūn	*swon	*sūn	思渾	心魂	p	I	h	文	I	XLIII	xxxx	i			
34	QIÁNG PÁN 牆盤	194-8	13m	201	孷	xī	*xi	*xrə	許其	曉之	p	III	k	之	J	XLIV	xxxx	J			
34	QIÁNG PÁN 牆盤	194-8	13m	201	釐	lí	*li	*C-rə	里之	來之	p	III	k	之	J						
